CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
235646767,03/31/2018,00:29:00,03/31/2018,05:34:00,03/31/2018,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,107,FRONT OF,STREET,,,1043823,203660,40.725483983,-73.785071866,"(40.725483983, -73.785071866)"
318290561,03/31/2018,00:25:00,03/31/2018,00:30:00,03/31/2018,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,,STREET,,,995572,174681,40.646136605,-73.959202147,"(40.646136605, -73.959202147)"
373619827,03/31/2018,00:25:00,03/31/2018,00:31:00,03/31/2018,358,OFFENSES INVOLVING FRAUD,705,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,14,,TRANSIT - NYC SUBWAY,,,985764,213806,40.753532701,-73.994536892,"(40.753532701, -73.994536892)"
387112824,03/31/2018,00:25:00,03/31/2018,00:33:00,03/31/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,109,INSIDE,RESIDENCE-HOUSE,,,1026986,226282,40.787672882,-73.845673053,"(40.787672882, -73.845673053)"
962336997,03/31/2018,00:20:00,03/31/2018,09:15:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,FRONT OF,STREET,,,999385,180026,40.660801769,-73.945449853,"(40.660801769, -73.945449853)"
695768985,03/31/2018,00:20:00,03/31/2018,01:00:00,03/31/2018,353,UNAUTHORIZED USE OF A VEHICLE,462,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,,STREET,,,1032359,260972,40.882859116,-73.826021303,"(40.882859116, -73.826021303)"
838915887,03/31/2018,00:19:00,03/31/2018,00:29:00,03/31/2018,111,POSSESSION OF STOLEN PROPERTY,494,"STOLEN PROPERTY 2,1,POSSESSION",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BRONX,48,,TRANSIT - NYC SUBWAY,,,1019444,245654,40.840876814,-73.872807133,"(40.840876814, -73.872807133)"
313535894,03/31/2018,00:15:00,03/31/2018,00:27:00,03/31/2018,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,,STREET,,,987011,202292,40.721929315,-73.990040755,"(40.721929315, -73.990040755)"
556997358,03/31/2018,00:15:00,03/31/2018,00:20:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,256,"MISCHIEF, CRIMINAL 4, BY FIRE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,RESIDENCE - APT. HOUSE,,,1000205,247126,40.844972739,-73.942335098,"(40.844972739, -73.942335098)"
541939945,03/31/2018,00:15:00,03/31/2018,00:20:00,03/31/2018,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,,STREET,,,947156,171600,40.637609478,-74.133654174,"(40.637609478, -74.133654174)"
788546597,03/31/2018,00:14:00,03/31/2018,00:18:00,03/31/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,78,INSIDE,CHAIN STORE,,,991661,186407,40.678326024,-73.97328271,"(40.678326024, -73.97328271)"
632400416,03/31/2018,00:10:00,03/31/2018,00:20:00,03/31/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,994817,176397,40.650847586,-73.961920133,"(40.650847586, -73.961920133)"
739844702,03/31/2018,00:10:00,03/31/2018,00:13:00,03/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE-HOUSE,,,1013618,184416,40.672815569,-73.894130285,"(40.672815569, -73.894130285)"
229588328,03/31/2018,00:10:00,03/31/2018,00:13:00,03/31/2018,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,32,FRONT OF,RESIDENCE - PUBLIC HOUSING,,,1001752,241629,40.829882139,-73.9367581,"(40.829882139, -73.9367581)"
820629898,03/31/2018,00:10:00,03/31/2018,00:15:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,66,,STREET,,,985823,172434,40.639976168,-73.994333595,"(40.639976168, -73.994333595)"
852905194,03/31/2018,00:05:00,03/31/2018,03:55:00,03/31/2018,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,104,FRONT OF,STREET,,,1018020,204259,40.727264227,-73.878161672,"(40.727264227, -73.878161672)"
106791078,03/31/2018,00:05:00,03/31/2018,00:10:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE - APT. HOUSE,,,1015229,237601,40.818789442,-73.888077695,"(40.818789442, -73.888077695)"
996857148,03/31/2018,00:01:00,03/31/2018,07:19:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,90,,STREET,,,1002266,195997,40.70463313,-73.935023072,"(40.70463313, -73.935023072)"
549762149,03/31/2018,00:01:00,03/31/2018,18:00:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,STREET,,,1010914,260940,40.882862131,-73.90357449,"(40.882862131, -73.90357449)"
252675243,03/31/2018,00:01:00,03/31/2018,18:00:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,STREET,,,1009496,262265,40.886503011,-73.908697509,"(40.886503011, -73.908697509)"
